Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Enigmatry.Entry.AspNetCore.Authorization\Enigmatry.Entry.AspNetCore.Authorization.csproj,File,Enigmatry.Entry.AspNetCore.Authorization\Enigmatry.Entry.AspNetCore.Authorization.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Enigmatry.Entry.AspNetCore.Authorization.Tests\Enigmatry.Entry.AspNetCore.Authorization.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Authorization.Tests\Enigmatry.Entry.AspNetCore.Authorization.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Enigmatry.Entry.AspNetCore\Enigmatry.Entry.AspNetCore.csproj,File,Enigmatry.Entry.AspNetCore\Enigmatry.Entry.AspNetCore.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Enigmatry.Entry.AspNetCore\Enigmatry.Entry.AspNetCore.csproj,File,Enigmatry.Entry.AspNetCore\Security\ServiceCollectionExtensions.cs,26,16,M:System.TimeSpan.FromDays(System.Int32),,,,,options.MaxAge = TimeSpan.FromDays(oneYear);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Enigmatry.Entry.AspNetCore\Enigmatry.Entry.AspNetCore.csproj,File,Enigmatry.Entry.AspNetCore\Exceptions\ApplicationBuilderExtensions.cs,18,8,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,Microsoft.AspNetCore.Builder.ExceptionHandlerOptions)",,,,,"builder.UseExceptionHandler(new ExceptionHandlerOptions          {              AllowStatusCode404Response = true,              ExceptionHandler = async context =>              {                  var handledElsewhere = false;                  if (onBeforeException != null)                  {                      handledElsewhere = await onBeforeException.Invoke(context);                  }                    if (handledElsewhere)                  {                      return;                  }                    await ExceptionHandler.HandleExceptionFrom(context);              }          })"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.12,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Tests\SampleAppTests\WeatherForecastControllerFixtureBase.cs,56,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Tests\SampleAppTests\WeatherForecastControllerFixtureBase.cs,54,8,T:System.Net.Http.HttpContent,,,,,"response.Content.Headers.ContentType!.MediaType.ShouldBe(""application/problem+json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Enigmatry.Entry.AspNetCore.Tests\Enigmatry.Entry.AspNetCore.Tests.csproj,File,Enigmatry.Entry.AspNetCore.Tests\SampleAppTests\WeatherForecastControllerFixtureBase.cs,45,8,T:System.Net.Http.HttpContent,,,,,response.Content.Headers.ContentType!.ShouldBeNull();
